text,correction,rule,comments
"use-case: ITServiceManagement
industry: Technology","use-case: ITServiceManagement
industry: Technology",,
# Pre-wired CBR configuration for FS Cloud example,# Pre-wired CBR configuration for FS Cloud example,,
"This example is designed to showcase some of the key customization options for the module. In addition to the pre-wired CBR rules documented at [fscloud profile](../../profiles/fscloud/), this example shows how to customize the module to:","This example showcases some of the key customization options for the module. In addition to the pre-wired CBR rules documented at [fscloud profile](../../profiles/fscloud/), this example includes the following customizations:",,
"Context: This example covers a ""pseudo"" real-world scenario where:
1. ICD Mongodb and Postgresql instances are encrypted using keys stored in Key Protect.
2. Schematics is used to execute terraform that creates Key Protect keys and key rings over its public endpoint.","The example covers the following example scenario:
- The instances of Databases for MongoDB and Databases for Postgresql are encrypted with keys that are stored in Key Protect.
- Schematics is used to execute the Terraform logic that creates Key Protect keys and key rings over its public endpoint.",,
"Applications are running in the VPC and need access to PostgreSQL via the private endpoint vs a public endpoint - e.g., a VPE.","Applications are running in the VPC and need access to PostgreSQL by using the private endpoint instead of a public endpoint, such as with a VPE.",v.gr.latin,
"Applications are running in the VPC and need access to PostgreSQL via the private endpoint vs a public endpoint - eg, a VPE.","Applications are running in the VPC and need access to PostgreSQL by using the private endpoint instead of a public endpoint, such as with a VPE.",v.gr.latin,
An end-to-end example to show how to apply a rule to multiple resources. This example uses the IBM Cloud Provider to automate the following infrastructure:,An end-to-end example to demonstrate how to apply a rule to multiple resources. This example uses the IBM Cloud Provider to automate the following infrastructure:,,
Applies a single CBR rule to only allow access from the VPC zone to the COS Instance and the same rule for the Bucket,Applies a single CBR rule to allow access only from the VPC zone to the COS instance and to the bucket,misplaced only,
# CBR multi service profile,# CBR multiservice profile,prefixes,
Create a VPC and create a CBR zone to allowlist the VPC.,Create a VPC and create a CBR zone to allow access from the VPC.,,
# Multi-zone example,# Multizone example,prefixes,
An end-to-end example that uses the module's default variable values. This example uses the IBM Cloud Provider to automate the following infrastructure::,An end-to-end example that uses the module's default variable values. This example uses the IBM Cloud Provider to automate the following infrastructure:,,
# Zone example,# Zone example,,
"This module creates default coarse-grained CBR rules in a given account following a ""secure by default"" approach - that is: deny all flows by default, except known documented communication in the Financial Services Cloud Reference Architecture.",This module creates CBR rules in the account that follow a secure-by-default approach. The rules deny all flows by default except those that are documented in the VPC reference architecture for IBM Cloud for Financial Services.,,
**Note on containers-kubernetes**: the module supports the pseudo-service names `containers-kubernetes-management` and `containers-kubernetes-cluster` to distinguish between the cluster and management APIs (see [details](https://cloud.ibm.com/docs/containers?topic=containers-cbr&interface=ui#protect-api-types-cbr) ). The module creates separates CBR rules for the two types of APIs by default to align with common real-world scenarios. `containers-kubernetes` can be used to create a CBR targetting both the cluster and management APIs.,"**Note on `containers-kubernetes`**: The module supports the pseudoservice names `containers-kubernetes-management` and `containers-kubernetes-cluster` to distinguish between the cluster and management APIs. For more information, see the [Protecting specific APIs](https://cloud.ibm.com/docs/containers?topic=containers-cbr&interface=ui#protect-api-types-cbr) section of Protecting cluster resources with context-based restrictions. By default, the module creates separate CBR rules for the two types of APIs to align with common real-world scenarios. `containers-kubernetes` can be used to create a CBR that targets both the cluster and management APIs.",,
"This module is designed to allow the consumer to add additional custom rules to open up additional flows necessarity for their usage. See the `custom_rule_contexts_by_service` input variable, and an [usage example](../../examples/fscloud/) demonstrating how to open up more flows.","This module is designed to allow the consumer to add custom rules to open more flows. See the `custom_rule_contexts_by_service` input variable, and a [usage example](../../examples/fscloud/) that demonstrates how to open more flows.",,
The module also pre-creates CBR zones for each service in the account as a best practice. CBR rules associated with these CBR zones can be set by using the `custom_rule_contexts_by_service` variable.,"As a best practice, the module also creates CBR zones for each service in the account. You can set CBR rules for these CBR zones by using the `custom_rule_contexts_by_service` variable.",,
"Important: To avoid unexpected breakage in the account against which this module is executed, the CBR rule enforcement mode is set to 'report' (or 'disabled' for services not supporting 'report' mode) by default. It is recommended to test this module first with these default settings and then use the `target_service_details` variable to set the enforcement mode to ""enabled"" gradually by service. The [usage example](../../examples/fscloud/) demonstrates how to set the enforcement mode to 'enabled' for the Key Protect (""kms"") service.","Important: To avoid failures in the account against which this module is executed, be default, the CBR rule enforcement mode is set to report mode (or to disabled for services that don't support report mode). Test the module with these default settings. Then, service by service, update the enforcement mode in the `target_service_details` variable to ""enabled"". The [usage example](../../examples/fscloud/) demonstrates how to set the enforcement mode to enabled for the Key Protect (`kms`) service.",,
"For information about how to create and run tests, see [Validation tests](https://terraform-ibm-modules.github.io/documentation/#/tests) in the project documentation.","For information about how to create and run tests, see [Validation tests](https://terraform-ibm-modules.github.io/documentation/#/tests) in the project documentation.",,
"[![Graduated (Supported)](https://img.shields.io/badge/status-Graduated%20(Supported)-brightgreen?style=plastic)](https://terraform-ibm-modules.github.io/documentation/#/badge-status)
[![semantic-release](https://img.shields.io/badge/%20%20%F0%9F%93%A6%F0%9F%9A%80-semantic--release-e10079.svg)](https://github.com/semantic-release/semantic-release)
[![pre-commit](https://img.shields.io/badge/pre--commit-enabled-brightgreen?logo=pre-commit&logoColor=white)](https://github.com/pre-commit/pre-commit)
[![latest release](https://img.shields.io/github/v/release/terraform-ibm-modules/terraform-ibm-landing-zone-vpc?logo=GitHub&sort=semver)](https://github.com/terraform-ibm-modules/terraform-ibm-landing-zone-vpc/releases/latest)
[![Renovate enabled](https://img.shields.io/badge/renovate-enabled-brightgreen.svg)](https://renovatebot.com/)","[![Graduated (Supported)](https://img.shields.io/badge/status-Graduated%20(Supported)-brightgreen?style=plastic)](https://terraform-ibm-modules.github.io/documentation/#/badge-status)
[![semantic-release](https://img.shields.io/badge/%20%20%F0%9F%93%A6%F0%9F%9A%80-semantic--release-e10079.svg)](https://github.com/semantic-release/semantic-release)
[![pre-commit](https://img.shields.io/badge/pre--commit-enabled-brightgreen?logo=pre-commit&logoColor=white)](https://github.com/pre-commit/pre-commit)
[![latest release](https://img.shields.io/github/v/release/terraform-ibm-modules/terraform-ibm-landing-zone-vpc?logo=GitHub&sort=semver)](https://github.com/terraform-ibm-modules/terraform-ibm-landing-zone-vpc/releases/latest)
[![Renovate enabled](https://img.shields.io/badge/renovate-enabled-brightgreen.svg)](https://renovatebot.com/)",,"Remove? This is specific to TIM, not to all IBM"
Subnets: Create one to three zones,Subnets: Create one to three subnets across availability zones,,
"Be sure you have the correct Terraform version (0.13 or later), you can choose the binary here:

- <https://releases.hashicorp.com/terraform/>",Ensure you have the correct Terraform version (0.13 or later). You can choose the binary from the [Terraform versions page](https://releases.hashicorp.com/terraform/).,,
This module is a collection of submodules that make it easier to provision Satellite resources on IBM Cloud.,This module is made up of a collection of submodules that simplify the provisioning of Satellite resources on IBM Cloud.,,Disagree with this edit :) 
"If you want to use a particular version of a module, set the argument `version` to the module version.","To use a particular version of a module, set the `version` argument to the module version.",,
"If you want to configure an optional parameter, override the default value.","To configure an optional parameter, override the default value.",,
This module creates the following IBM Cloud&reg; Virtual Private Cloud (VPC) network components:,This module creates the following IBM Cloud Virtual Private Cloud (VPC) network components:,,Remove? We don't want to remove trademarks everywhere
![vpc-module](https://raw.githubusercontent.com/terraform-ibm-modules/terraform-ibm-landing-zone-vpc/main/.docs/vpc-module.png),![vpc-module](https://raw.githubusercontent.com/terraform-ibm-modules/terraform-ibm-landing-zone-vpc/main/.docs/vpc-module.png),,
"To set up your local development environment, see [Local development setup](https://terraform-ibm-modules.github.io/documentation/#/local-dev-setup) in the project documentation.","To set up your local development environment, see [Local development setup](https://terraform-ibm-modules.github.io/documentation/#/local-dev-setup) in the project documentation.",,
The module can be utilized to,The module can be used to,word usage,
:information_source: **Tip:** This is a tep,:information_source: **Tip:** This is a tip,,"Remove? This is specific to TIM, not to all IBM"
In order to use the bastion host,To use the bastion host,,
This code is a version of the [parent root module](../../) that includes a default configuration that complies with the relevant controls from the [IBM Cloud Framework for Financial Services](https://cloud.ibm.com/docs/framework-financial-services?topic=framework-financial-services-about).,This code is a version of the [parent root module](../../) that includes a default configuration that complies with the relevant controls from the [IBM Cloud Framework for Financial Services](https://cloud.ibm.com/docs/framework-financial-services?topic=framework-financial-services-about).,,
The default values in this profile were scanned by [IBM Code Risk Analyzer (CRA)](https://cloud.ibm.com/docs/code-risk-analyzer-cli-plugin?topic=code-risk-analyzer-cli-plugin-cra-cli-plugin#terraform-command),The default values in this profile were scanned by [IBM Code Risk Analyzer (CRA)](https://cloud.ibm.com/docs/code-risk-analyzer-cli-plugin?topic=code-risk-analyzer-cli-plugin-cra-cli-plugin#terraform-command),,
"This module creates default coarse-grained CBR rules in a given account following a ""secure by default"" approach - that is: deny all flows by default, except known documented communication in the [Financial Services Cloud Reference Architecture](https://cloud.ibm.com/docs/framework-financial-services?topic=framework-financial-services-vpc-architecture-about):","This module creates default coarse-grained CBR rules in a given account, following a secure-by-default approach. The rules deny all flows by default, except for documented communication in the [Financial Services Cloud Reference Architecture](https://cloud.ibm.com/docs/framework-financial-services?topic=framework-financial-services-vpc-architecture-about). The following are the CBR rules created by the module:",,
the [IBM Cloud Framework for Financial Service](https://cloud.ibm.com/docs/framework-financial-services?topic=framework-financial-services-about),the [IBM Cloud Framework for Financial Services](https://cloud.ibm.com/docs/framework-financial-services?topic=framework-financial-services-about),,
"Do not touch dash (-) separated terms, including in links [terraform-ibm-landing-zone](#terraform-ibm-landing-zone)","Do not change terms that are separated by dashes (`-`), including in links [terraform-ibm-landing-zone](#terraform-ibm-landing-zone)",,
Let's try to add title to links such as <https://cloud.ibm.com/docs/framework-financial-services?topic=framework-financial-services-about>.,"Let's try to add titles to links, such as [IBM Cloud Framework for Financial Service](https://cloud.ibm.com/docs/framework-financial-services?topic=framework-financial-services-about).",,
Use this Terraform automation to set up a Satellite location on IBM CloudÂ®.,This module sets up a Satellite location in IBM Cloud.,,
Follow the instructions in enabling VRF and service endpoints](<https://cloud.ibm.com/docs/account?topic=account-vrf-service-endpoint&interface=ui#vrf>).,Follow the instructions in enabling [VRF and service endpoints](https://cloud.ibm.com/docs/account?topic=account-vrf-service-endpoint&interface=ui#vrf).,,
The VPC componnts are described in the [main.tf](./main.tf) file.,The VPC components are described in the [main.tf](./main.tf) file.,spelling,
The location subdomains are not correctly routing traffic to your control plane hosts.,The location subdomains aren't correctly routing traffic to your control plane hosts.,v.gr.contractions,
You cannot log into a service instance organization that you own., You can't log in to a service instance organization that you own.,v.gr.contractions; word usage,
"""The service has three componentsÑOne, Two, and Three.""","""The service has three components: One, Two, and Three.""",v.gr.dashes,
The process begins on 01/01/2024.,The process begins on 1 January 2024.,v.gr.dateorder,
Click **Save As...** and type a file name.,Click **Save As** and type a file name.,v.gr.ellipses; UI elements,
Complete this step first!,Complete this step first.,exclamation,
An employee is expected to clean their work area before s/he goes home.,Employees are expected to clean their work areas before they go home.,v.gr.gender,
Deployments will start small (i.e. single multi-zone VPC) but will grow.,"Deployments start small (that is, a single multizone VPC), but grow.",v.gr.will;verb tense;prefixes,
"To set the environment variable, firstly get the CRN of the service instance.","To set the environment variable, first get the CRN of the service instance.",v.gr.ordinal,
Expect the size to increase by ten percent.,Expect the size to increase by 10%.,numbers; percentages,
It is fifteen centimeters in length.,It is 15 centimeters long.,v.gr.units;numbers,
"Those systems go through slow enhancement cycles, which gives rise to stagnant patient service levels.","Those systems go through slow enhancement cycles, which leads to stagnant patient service levels.",v.gr.wordiness,
"Scanning of user data for viruses, malware, etc prior to uploading objects to the IBM Storage platform.","Scan user data for viruses, malware, and other issues before you upload objects to IBM Storage platform.",v.gr.latin; v.gr.wordiness,Relative clauses instead of present participle phrases
I.B.M. Cloud uses a large majority of the `10.0.0.0/8` network.,IBM Cloud uses most of the `10.0.0.0/8` network.,v.gr.wordiness;abbreviations,
Make sure that your call to the application programming interface is authenticated.,Make sure that your call to the API is authenticated.,v.gr.acronyms,
Check the frequently ask questions.,Check the FAQs.,v.gr.acronyms,
You can write an hypertext markup language file.,You can write an HTML file.,v.gr.acronyms,
Contact your International Business Machines representative.,Contact your IBM representative.,v.gr.acronyms,
The product inserts a unique I.D.,The product inserts a unique ID.,v.gr.acronyms;abbreviations,
absentmindedly,,v.gr.adverbs,
adventurously,,v.gr.adverbs,
anxiously,,v.gr.adverbs,
arrogantly,,v.gr.adverbs,
bashfully,,v.gr.adverbs,
beautifully,,v.gr.adverbs,
bitterly,,v.gr.adverbs,
bleakly,,v.gr.adverbs,
blissfully,,v.gr.adverbs,
boastfully,,v.gr.adverbs,
Your table appears by default with alternatively shaded rows.,Your table appears by default with alternating shaded rows,word usage,
"If you desire, you can use the CLI or the UI as an alternate.",You can use the CLI or the UI as an alternative.,v.gr.complex; word usage,
"To initiate the process, click on the **Start** button.","To begin, click **Start**.",v.gr.complex,Also hits on UI elements
You can utilize any number of options.,You can use several options.,v.gr.complex,
Untar the file and copy it.,Extract the file and copy it.,word usage,
You must change the default settings!,You must change the default settings.,exclamation,
We debugged fifty % of the modules.,We debugged 50% of the modules.,percentages,
We debugged fifty percent of the modules.,We debugged 50% of the modules.,percentages,
We debugged 50 percent of the modules.,We debugged 50% of the modules.,percentages,
"As per the documentation, you must delete the file first.","As described in the documentation, delete the file first.",v.gr.wordiness,
The write operation will hang until such time as a replica is available.,The write operation hangs until a replica is available.,v.gr.wordiness,Also future tense
The Recovery log which contains the most recent information is in the current_logs folder.,The Recovery log that contains the most recent information is in the `current_logs` folder.,nonrestrictive clauses,
"The Recovery log, that is generated automatically, shows the cause of the problem.","The Recovery log, which is generated automatically, shows the cause of the problem.",nonrestrictive clauses,
You don't really need a semicolon; rewrite the sentence as two or more sentences.,You don't really need a semicolon. Rewrite the sentence as two or more sentences.,v.gr.semicolons,
The Limits window is used to specify the minimum and maximum values.,"In the Limits window, specify the minimum and maximum values.",passive,
Up to 500 files can be stored in the database.,You can store up to 500 files in the database.,passive,
This sentence is first.  Notice the periods between these sentences.,This sentence is first. Notice the periods between these sentences.,v.gr.spacing,
